"Author.Full.Names","Article.Title","Publication.Year","Abstract","Answer.1","Answer.2","Answer.3","Answer.4","Answer.5","Answer.6","Answer.7","Answer.8","Answer.9"
"Baqai, Attiya; Jan, Maria; Maher, Rafay Rasheed","Optical Braille Blocks for Visually Impaired Elementary Education",2021,"Learning through play has always proved its effectiveness in elementary education and has yielded prolific results. Although there are trained instructors, special schools, specific toys and facilities for Visually Impaired (VI), yet the communication between tutors and special children holds a significant gap. Also, tools in market are either too expensive or available in limited quantity in underdeveloped countries. This paper presents a cost effective solution for visually impaired children to play and learn via Braille blocks. These blocks are designed by embossed motives representing numbers, alphabets, shapes and mathematical operators with Infra-Red (IR) tags. The blocks transmit Infrared codes when come in contact with the system. The Braille Blocks System consists of a battery, optical detectors and controller which performs detection and processing of selected IR pattern. This system comprises of three different learning modules namely Words Game, Shapes Game and Math Game. These modules are further divided into several sub-game sections so that the children can learn and improve their communication and academic skills. The presence of audio feedback elevates a child's capabilities to memorize and concentrate on self-learning and spatial coordination in a fascinating way. The designed system was tested on 20 blind children in National Special Education Complex Karachi, Pakistan and an assessment was conducted on basis of different types of errors encountered by children. The suitability of the system was also evaluated by taking feedback from blind students through a questionnaire, proving its effectiveness with 79% of blind children giving either good or very good feedback.","Yes","Accommodation","Braille blocks with IR tags","Learning","Elementary","20","Pakistan","Multiple subjects","N/A"
"Yurtay, Nilufer; Yurtay, Yuksel; Adak, M. Fatih","An Education Portal for Visually Impaired",2015,"It is a major problem for visually impaired people to access to information readily. Although, there are a plenty of written sources, the number of recorded sources are limited. So how can we make visually impaired to use online educational material? In this study, it is aimed to develop a distance education portal that makes educational materials and sources easily accessible to visually impaired. It enables an easy access to a variety of education packages with different contents and durations. The distance education portal developed in this study is coded in PHP, and MySQL is used for the database. JAWS is used as the screen reading software. HTML pages are coded using HTML5 and CSS3 technologies, and are designed to be compatible with JAWS. Distance education portal for visual impaired is designed using new tools, and successful results are obtained with help of JAWS screen reading software. The portal will provide the visually impaired with many dynamic and interactive educational opportunities. Therefore, it would be reasonable to use the portal to offer all or part of any special or vocational education in varying content. (C) 2015 The Authors. Published by Elsevier Ltd.","Yes","Accommodation","Distance education portal for visually impaired","Learning","N/A","N/A","N/A","N/A","N/A"
"Fitzpatrick, Donal; McMullen, Declan","Distance learning of graphically intensive material for visually impaired students",2008,"Historically the conveying of graphical materials to visually impaired students has been difficult to achieve. Various methods have evolved that aim to solve the problem, ranging from those based on technology to the construction of models which the learner, relying on tactile representations, can employ. The various methods used to depict graphically intensive data assume the presence of a teacher, or the inclusion of Braille labels. If a learner is operating in a distance-learning environment, or cannot read Braille there is little to no access to graphical material. This paper highlights the various methods used to convey diagrarns to blind people. It outlines the perceived problems with applying these techniques to a distance-learning environment, and describes solutions which have been devised as part of the EU-sponsored project AHVITED (Audio Haptics for Visually Inipaired Training and Education at a Distance) [1].","Yes","Accommodation","Audio Haptics for visually impaired training","Distance-learning environment","N/A","N/A","N/A","Graphically intensive material","N/A"
"Mudunuri, S.; Sharma, A.; Subramaniam, P.","Perception of Complete Visually Impaired Children to Three Different Oral Health Education Methods: A Preliminary Study",2017,"Aim: To evaluate the perception of visually impaired children to three different methods of oral health education. Study design: Sixty total visually impaired children were divided into three groups of 20 children each. Children in group-I received oral health education through a lecture. Children in group II received Demonstration on a Model by Tell and Touch method (DMTT) and children in group III were self trained on oral hygiene skills. All children received written instructions in Braille. Their knowledge and practice of oral hygiene methods were recorded by a questionnaire and their method of brushing and rinsing was assessed during a personal interview. Data obtained was subjected to statistical analysis. Results: Children in group II were able to brush and rinse significantly better (p < 0.05) as compared to the other groups. Demonstration on a Model by Tell and Touch method was found to be the most preferred method of oral health education. Conclusion: Oral health education given through DMTT method was perceived well by the visually impaired children.","Yes","Accommodation","Oral health education methods","Learning","N/A","60","N/A","Oral health","N/A"
"Mahantesha, Taranatha; Nara, Asha; Kumari, Parveen Reddy; Halemani, Praveen Kumar Nugadoni; Buddiga, Vinutna; Mythri, Sarpangala","A comparative evaluation of oral hygiene using Braille and audio instructions among institutionalized visually impaired children aged between 6 years and 20 years: A 3-monthfollow-up study",2015,"Aim: The aim of this study is to compare the oral hygiene status among institutionalized visually impaired children of age between 6 and 20 years given with Braille and audio instructions in Raichur city of Karnataka. Materials and Methods: A total of 50 children aged between 6 to 20 years were included in this study from a residential school for visually impaired children. These children were randomly divided into two equal groups. One group was given oral hygiene instructions by audio recordings and another written in Braille and were instructed to practice the same. After three months time the oral hygiene status and dental caries experience was recorded and compared using patient performance index. Statistical analysis was done by student paired t test and multiple comparison by Tukey's HSD (honest significant difference) test. Results: The mean PHP (Patient Hygiene Performance) score of group A at baseline was 3.88 compared to 3.90 of group B. At 7 days PHP score of group A and group B was 3.42 and 3.45 respectively. At 3 month PHP score of group A and group B was 2.47 and 2.86 respectively. Even though over a period of time the mean score of PHP index reduced the score comparison between the 2 groups were statistically non significant. In group A the mean difference of PHP score between baseline and 7 days was 0.46, between baseline and 3 months it was 1.40.The PHP score between 7 days and 3 months was 0.94. All the above values were statistically significant. Conclusion: Effective dental health education method has to be instituted for visually impaired children. The present study shows improvement of oral health status in both the study population by decrease in the mean plaque score .Hence continuous motivation and reinforcement in the form of Braille and audio instruction is beneficial to achieve good oral hygiene levels in visually impaired children.","Yes","Accommodation","Braille and audio instructions","N/A","N/A","50","India, Karnataka","Oral hygiene","N/A"
"Shokat, Sana; Riaz, Rabia; Rizvi, Sanam Shahla; Khan, Inayat; Paul, Anand","Detection of Touchscreen-Based Urdu Braille Characters Using Machine Learning Techniques",2021,"Revolution in technology is changing the way visually impaired people read and write Braille easily. Learning Braille in its native language can be more convenient for its users.)is study proposes an improved backend processing algorithm for an earlier developed touchscreen-based Braille text entry application.)is application is used to collect Urdu Braille data, which is then converted to Urdu text. Braille to text conversion has been done on Hindi, Arabic, Bangla, Chinese, English, and other languages. For this study, Urdu Braille Grade 1 data were collected with multiclass (39 characters of Urdu represented by class 1, Alif ((sic)), to class 39, Bri Yay ((sic)). Total (N. 144) cases for each class were collected.)e dataset was collected from visually impaired students from)e National Special Education School. Visually impaired users entered the Urdu Braille alphabets using touchscreen devices.) The final dataset contained (N. 5638) cases. Reconstruction Independent Component Analysis (RICA)-based feature extraction model is created for Braille to Urdu text classification. The multiclass was categorized into three groups (13 each), i.e., category-1 (1-13), Alif-Zaal ((sic)), category-2 (14-26), Ray-Fay ((sic)), and category-3 (27-39), Kaaf-Bri Yay ((sic)), to give better vision and understanding.)e performance was evaluated in terms of true positive rate, true negative rate, positive predictive value, negative predictive value, false positive rate, total accuracy, and area under the receiver operating curve. Among all the classifiers, support vector machine has achieved the highest performance with a 99.73% accuracy. For comparisons, robust machine learning techniques, such as support vector machine, decision tree, and K-nearest neighbors were used. Currently, this work has been done on only Grade 1 Urdu Braille. In the future, we plan to enhance this work using Grade 2 Urdu Braille with text and speech feedback on touchscreen-based android phones.","Yes","Accommodation","Touchscreen-based Urdu Braille text entry application","Learning","N/A","5638 cases","N/A","Braille to text conversion","N/A"
"Capovilla, Dino; Muehling, Andreas; Hubwieser, Peter","How Learning Styles in CS can Foster Inclusion of Visually Impaired Students",2015,"We present the results of a study of learning types of CS students. In computer science education there seems to be a prevalence of visually oriented teaching methods. However, as the results of our investigation show, the learners may not actually benefit from this trend. This is valuable information in the context of including visually impaired learners in computer science classes - since these learners suffers the greatest disadvantages from visually oriented teaching and learning aids. Our results indicate that a different approach to CSEd placing more emphasis on kinesthetic and textual material may be of advantage for all CS students alike and also foster the inclusion of visually impaired learners.","Yes","Accommodation","Kinesthetic and textual material","Learning","N/A","N/A","N/A","Computer Science","N/A"
"Scheithauer, Mindy C.; Tiger, Jeffrey H.","A COMPUTER-BASED PROGRAM TO TEACH BRAILLE READING TO SIGHTED INDIVIDUALS",2012,"Instructors of the visually impaired need efficient braille-training methods. This study conducted a preliminary evaluation of a computer-based program intended to teach the relation between braille characters and English letters using a matching-to-sample format with 4 sighted college students. Each participant mastered matching visual depictions of the braille alphabet to their printed-word counterparts. Further, each participant increased the number of words they read in a braille passage following this training. These gains were maintained at variable levels on a maintenance probe conducted 2 to 4 weeks after training.","No","Not","Computer-based braille reading program","Learning","College","4","N/A","Braille reading","N/A"
"Mascret, Bruno; Mille, Alain","Supporting the learning process - more than a Braille transcription",2011,"Objective. This article gives an analysis of what a good automatic Braille transcribing tool should propose to be suitable for inclusive education. We criticize actual technologies and we present NAT Braille, a free software solution designed to respond to pedagogical specific needs. Main content. We describe the situation of inclusive education for visually-impaired students in France and recall the main existing solutions. We then focus on two major facts : most teachers are not skilled in Braille and only few solutions are designed to teach Braille inside a classroom. Moreover, teachers and students need to communicate directly without the support of transcribing centers, which produce high quality transcriptions but are inadequate during a lesson or to communicate for students working together. NAT Braille is a transcribing tool that has been designed to limit the time disability which is prejudicial to the visually impaired, especially during the learning process. It includes features allowing teachers to transcribe automatically composite documents according to pedagogical scenarios, particularly while learning contracted Braille (there are different steps corresponding to the student's level in contracted Braille, also usable by a non Braille reading teacher). It contains a simple Braille and black interface where students and teacher may interact directly and produce instant Braille to black or black to Braille transcriptions, including mathematical and contracted Braille ones. Therefore NAT Braille allows immediate corrections, group work and mutual assistance between students. Moreover users can read and write with their own modalities and language. NAT Braille uses a highly customizable set of rules instead of dictionaries, and adapts to each profile. Results. NAT Braille has been tested in real environments and will now be widely distributed into classes. Feedbacks are promising and raise new challenges, especially to make the software even more simple to use. Some features could be combined with other existing solutions to improve the understanding of formulas, to ease the transcriptions' edition or to include NAT Braille in publishing chains in order to produce adaptable documents. Conclusion. We show that NAT Braille is a good solution for inclusive education, particularly in the case of non Braille reading teachers. In this idea we are developing foreign partnerships to propose NAT Braille into other languages. However it remains a tool and would be advantaged if combined with other assistive solutions. We must see it as a first step towards developing other assistive tools for Braille learning and transcribing.","Yes","Accommodation","Automatic Braille transcribing tool","Classroom","N/A","N/A","France","Inclusive education","Yes, N/A"
"de Lima, Paola; Souza e Silva, Renata; Guedert, Denis Guilherme; Figueiredo Costa, Ana Carolina; Gondim, Delane Viana; Vale, Mariana Lima","Teaching human anatomy to the visually impaired: A systematic review",2022,"Information related to human anatomy is present throughout the educational process, especially in undergraduate courses in the biomedical area. These courses have complex theoretical and practical contents, and this becomes more evident when they are developed for the visually impaired. The objective of this work was to perform a systematic review on the teaching of human anatomy for the visually impaired. After the protocol was registered on the PROSPERO platform (CRD42022306002), 10 electronic databases were manually searched with the descriptors teaching human anatomy and visually impaired. Intervention studies were selected without date or language restrictions. In the end, only eight studies were found. Tactile materials produced manually, and Braille and cadaveric pieces, are assessed as good tools for teaching human anatomy to the visually impaired. There is a pressing need for adaptations of teaching methods to make the teaching more accessible and inclusive.","Yes","Accommodation","Tactile materials, Braille, cadaveric pieces","Learning","Undergraduate","N/A","N/A","Human anatomy","N/A"
"Loresco, Pocholo James M.; Neyra, Romano Q.","Filipino Braille One-Cell Contractions Recognition Using Machine Vision",2019,"Braille is one of the major tools for teaching the visually impaired. Sufficient number of teachers engaged in special education involved in Filipino Braille is not available. One of the possible approaches to address this problem is the use of computers in automation of extracting information in Braille that can facilitate teaching. Other countries have taken their initiative to develop similar technology capable of teaching Braille however the Filipino Braille code including its contractions, and the Filipino language per se has features that are distinct to other languages. This research proposes a system that use machine vision in recognizing one-cell Filipino Braille contractions. Scanned Braille images undergo image processing and HOG feature extraction to train the system classifier thru SVM. Performance evaluation results reflect a high accuracy of recognition.","Yes","Accommodation","Machine vision for Braille recognition","Learning","N/A","N/A","Philippines","Special education","N/A"
"Debnath, Arpan; Srivastava, B. K.; Shetty, Punith; Eshwar, Shruthi","New Vision for Improving the Oral Health Education of Visually Impaired Children-A Non Randomized Control Trial",2017,"Introduction: Visually impaired people have poorer oral hygiene when compared to others. Therefore, there is a necessity for individual training by making awareness in oral care and plaque control so as to improve their oral hygiene. Aim: The aim of the present study was to assess the effectiveness of oral health innovative educative method among visually impaired children of Bengaluru city of India. Materials and Methods: A non-randomized control trial was conducted among 40 visually impaired individuals attending special school for blind. The study was conducted for a duration of six months. Baseline data regarding oral health knowledge, attitude and practices was obtained through a questionnaire in Braille and oral plaque assessment was done using Silness and Loe plaque index (1964). Music based brushing technique, cast models and an oral health education talk and booklet in Braille was delivered stressing on importance of oral health. The results of Knowledge, Attitude and Practices (KAP) before and after health education were analysed using Chi-square test with SPSS version 22.0. Results: The overall KAP was lower in the preintervention period among the visually impaired children with mean score of 6.98 while after the modified oral health education session, it was increased to a mean score of 14.68 which was statistically significant at p< 0.001. There was a significant change in the oral plaque scores with 80% of the children having fair scores in the preintervention period to 30% in the postintervention period. Conclusion: This oral health education module showed good results which can be implemented to effectively increase the awareness about dental health.","Yes","Accommodation","Music-based brushing, Braille materials","Learning","N/A","40","India","Oral health","N/A"
"Shokat, Sana; Riaz, Rabia; Rizvi, Sanam Shahla; Khan, Inayat; Paul, Anand","Characterization of English Braille Patterns Using Automated Tools and RICA Based Feature Extraction Methods",2022,"Braille is used as a mode of communication all over the world. Technological advancements are transforming the way Braille is read and written. This study developed an English Braille pattern identification system using robust machine learning techniques using the English Braille Grade-1 dataset. English Braille Grade-1 dataset was collected using a touchscreen device from visually impaired students of the National Special Education School Muzaffarabad. For better visualization, the dataset was divided into two classes as class 1 (1-13) (a-m) and class 2 (14-26) (n-z) using 26 Braille English characters. A position-free braille text entry method was used to generate synthetic data. N = 2512 cases were included in the final dataset. Support Vector Machine (SVM), Decision Trees (DT) and K-Nearest Neighbor (KNN) with Reconstruction Independent Component Analysis (RICA) and PCA-based feature extraction methods were used for Braille to English character recognition. Compared to PCA, Random Forest (RF) algorithm and Sequential methods, better results were achieved using the RICA-based feature extraction method. The evaluation metrics used were the True Positive Rate (TPR), True Negative Rate (TNR), Positive Predictive Value (PPV), Negative Predictive Value (NPV), False Positive Rate (FPR), Total Accuracy, Area Under the Receiver Operating Curve (AUC) and F1-Score. A statistical test was also performed to justify the significance of the results.","Yes","N/A","Braille pattern identification system","N/A","N/A","2512","Pakistan","N/A","N/A"
"Maulanti, Titis; Nurmala, Ira","A systematic review of oral health educational media innovation for visually impaired children: Which one brings the best impact of change?",2021,"Aim: Various innovations of oral health education media were used to bring an impact on oral health behavior and status among visually impaired children. This paper was aimed to systematically investigate which innovation brings the best impact of change. Methods: A systematic searching strategy in Scopus, PubMed, ProQuest, ScienceDirect, EBSCO, SAGE, and Cochrane Library database was applied in this study, then followed Preferred Reporting Items for Systematic Reviews and Meta-Analyses guideline. Studies from the last 10 years that investigate the innovation of oral health education media for visually impaired children and its impact on change were included. Results: Of 653 studies identified, 10 were included in the data synthesis. Audio, Braille, audio-tactile performance, verbal, tactile, or combinations were found to be utilized as the alternative media innovation of oral health education for visually impaired children. The combination of two or more media brings the best impacts of oral health behavior and oral health status among them. Conclusions: The combination of oral health education media may involve various senses of learning. Due to its impact on the improvement of oral health behavior and status among visually impaired children, this innovation should be chosen.","Yes","Accommodation","Oral health education media","Learning","N/A","N/A","N/A","Oral health","N/A"
"Papadopoulos, Konstantinos; Arvaniti, Evmorfia K.; Dimitriadi, Despina I. .; Gkoutsioudi, Vasiliki G.; Zantali, Christina I. .","Spelling performance of visually impaired adults",2009,"Visual processes undoubtedly play an important role in print reading as well as in spelling. In the present study we intend to compare the spelling performance of visually impaired individuals (both individuals who are blind and individuals with low vision) with that of their fully sighted peers. An analysis of errors (misspelled words and spelling mistakes) was conducted. The influence of certain factors - such as gender, age, educational level and the most common medium of reading - over spelling performance was also assessed. Our results suggest that the severity of the visual disability appears to have a negative effect on the spelling performance of visually impaired adults, although the number of errors declines as the subject's level of education increases. Blind or severely visually impaired subjects who used braille frequently seem to perform better at spelling compared to those who rely on other media. Adults with low vision who use magnifying lenses frequently seem to make more spelling mistakes than those who use braille, large print, CCTV or the computer (screen-reading or screen-magnification software).","Yes","N/A","N/A","N/A","N/A","N/A","N/A","Spelling","N/A"
"Kang, Nam-wook; Choi, Gwon-jin","A pilot study for ′barrier-free′ Korean language education - The development of the King Sejong Institute Foundation′s Korean Language for the Visually Impaired Beginning textbook-",2023,"Journal of the International Network for Korean Language and Culture 20-3, 1-34. This study discusses the principles and directions crucial for the development of Korean textbooks tailored for the visually impaired. It approaches this task from the perspective of ensuring the right to Korean education without barriers, drawing insights based on actual development cases. The study begins by providing an overview of braille and the concept of visual impairment. It subsequently explores the possibilities and demands associated with foreign language learning for individuals with visually impairments. Based on the needs of blind learners and theoretical evidence, the study establishes eight principles guiding the development of Korean textbooks for the visually impaired by adapting existing materials. We then present the teaching objectives and characteristics of volumes 1-6 of the King Sejong Institute Foundation ' s Korean Language for the Visually Impaired Beginning. Developed between 2021 and 2022, these volumes illustrate how the design direction was incorporated and organized in the creation of the textbooks. These results reveal the need to train teachers on how to effectively use the textbook, the potential development of audio-centered textbooks separate from braille instruction, and the need to further discuss the development of barrier-free Korean textbooks.(Sungkyunkwan University, Inha University)","Yes","Accommodation","Braille and audio-centered textbooks","Learning","N/A","N/A","N/A","Korean language","N/A"
"de Souza, Agerdanio Andrade; da Silva Freire, Ana Paula; Teixeira Chaves, Oberdan Jose; da Silva, Solange Rodrigues","The role of adaptations and braille transcriptions in the context of teaching chemistry: socio-statistical survey of the pedagogical support center for the visually impaired in the state of Amapa",2021,"This experimental research brings the theme of inclusion of the Visually Impaired in regular education. Aiming to analyze the process of inclusion of visually impaired students, supplemented with braille transcriptions and adapted teaching material in the discipline of chemistry, produced by the Pedagogical Support Center for the Visually Impaired Person of Amapa, Brazil, in the last five years, as well as reflecting on it of the educational process of these individuals, taking into account the understanding of chemical concepts, in the different Teaching Levels. Methodologically, the study is based on Gestalt Theory, where it is not possible to know the whole through the parts, but the parts through the set of actions performed. Among the methodological procedures, we highlight the cataloging of educational assistance aimed at DV students, quantifications of transcriptions and Braille adaptations by area of knowledge and pedagogical interventions. The analysis showed that the Chemistry discipline is responsible for 24% of the braille adaptations in the center, contributing to the didactic complementation of 70% of students enrolled in the basic network of Amapa. Evidencing the need for physical pedagogical monitoring, to the DVs, as those with appropriate supplementation achieved a 65% performance in the Chemistry discipline per researched group. The disparity regarding the use of chemistry teaching means not giving the Disabled the possibility of inclusion, since when school performance increases, the interpersonal side of individuals develops, making them active subjects in society.","Yes","Accommodation","Braille transcriptions, adapted teaching material","Classroom","Different Teaching Levels","N/A","Brazil, Amapa","Chemistry","Yes, 70% of students"
"Aggarwal, Tanvi; Goswami, Mridula; Dhillon, Jatinder Kaur","Assessment of Oral Health Educational Program on oral health status of visually impaired children in New Delhi",2019,"Aim: The present study was conducted with the aim to assess the effectiveness of Oral Health Education programme on Oral Health Status of visually impaired children in New Delhi. A specially designed oral health educational programme consisting of audio aid, Braille booklet and individualized training was implemented to educate and motivate visually impaired children for maintaining their oral health. Methods and results: A total sample size of 120 children in the age group of 5-15 years was selected and questionnaire based on WHO criteria 2013 was administrated. In oral examination caries status using DMFT/S and dmft/s and oral hygiene status using plaque index given by Sillness and Ike was evaluated at the baseline and reevaluated after nine months. Oral Health Educational Programme was implemented and reinforced every month for nine months. Results showed that at the end of nine months 55.04% children started brushing twice daily as compared to 30% children at baseline. There was a statiscally significant decrease (0.1887 +/- 0.332) in plaque index scores at the end of nine months. Conclusion: It was concluded that Oral Health Educational Programme was effective in improving the oral hygiene status among visually impaired children.","Yes","Accommodation","Audio aid, Braille booklet, individualized training","N/A","5-15 years","120","New Delhi","Oral health","N/A"
"Rana, Ahmed; Zincir, Ibrahim; Basarici, Samsun","A Proposal for a Novel e-Learning System for the Visually Impaired",2014,"According to World Health Organization (WHO), 285 million people are estimated to be visually impaired worldwide: 39 million are blind and 246 million have low vision. It is a well-known fact that for the visually impaired it is not possible to access the information via drawings and figures, as there is no interpretation. In addition, it is not easy to search through a passage for the relevant information as Braille takes much more time to read and finally a lot of memorization is necessary in order to achieve success in life. As standard procedures and systems for education are not sufficient for these people, a novel approach is necessary. The recent advances in information and communication technologies (ICTs) have placed e-learning at the front row of education methodologies for the disabled. E-learning applications and websites specifically designed for accessibility help to improve the quality of the education without undermining the functionality and the usability. This paper first outlines the challenges and the shortcomings of e-learning schemas for the visually impaired and then proposes a novel touch screen application implemented via an effective and interactive, user-friendly e-learning system.","Yes","Accommodation","Touch screen application","E-learning","N/A","N/A","N/A","N/A","N/A"
"Christensen, Lars Ballieu; Stevns, Tanja","Biblus - A Digital Library to Support Integration of Visually Impaired in Mainstream Education",2012,"This paper presents the background, status, challenges and planned future directions of the Danish Biblus project which aims creating a digital library solution to be used to support the integration of visually impaired pupils and students in the mainstream educational system. As a supplement to the RoboBraille alternative media conversion system as well as a stand-alone repository for copyrighted educational material in alternate formats, Biblus was created to allow students, teachers, visual impairment professionals and relatives to access digital versions of educational material. Subject to proper access rights, material can either be delivered directly to the user in the formats stored in the library or indirectly via RoboBraille as mp3 files, Daisy full text/full audio, e-books or Braille books. Future versions of Biblus will be available in multiple languages and include digital rights management as well as support for decentralised contribution of material.","Yes","Accommodation","Digital library for educational material","Classroom","N/A","N/A","Denmark","N/A","N/A"
"Sahasrabudhe, Shrirang; Palvia, Prashant","Academic Challenges of Blind Students and Their Mitigation Strategies Research-in-Progress",2013,"In the knowledge driven world, quality education is an absolute necessity in order to succeed and advance. Most of the current educational curriculum is oriented towards the use of the eyesight. This requirement poses paramount challenges to the blind and visually impaired (BVI)(2) students. This paper undertakes a qualitative and subsequent quantitative inquiry to understand the academic challenges faced by BVI students in high school and college, their resolution strategies and the use of technology to resolve their problems. The pilot study and the subsequent survey identify the extent of visual disability, knowledge of Braille, availability of materials in Braille, availability of alternative formats such as tactile models, availability of human assistance reader/scribe, affordability of the solution technology and perceived use of the solution technology as antecedents for the choice of the resolution strategy.","Yes","Accommodation","Technology for BVI students","N/A","High school, college","N/A","N/A","N/A","N/A"
"Khan, Afsary Jahan; Rosli, Tanti Irawati; Zakaria, Ahmad Shuhud Irfani; Ahmad, Mas Suryalis; Mahyuddin, Alida","The Utilization of Oral Hygiene Instructions using Braille Method on Visually Impaired School Children",2021,"Background: Poor oral health among visually impaired (VI) children has been reported to associate within effective delivery of oral hygiene (OH) instructions. This study aimed to assess the changes in OH status of a group of VI school-children after implementing OH instructions using verbal and tactile methods with/without the addition of instructions in Braille. Methods: The study was conducted on VI children (13-17 years old) of a Special Education School. The study participants were divided into 2 groups depending on the delivery method of OH instructions: The Non-Braille Group (NBG) and Braille Group (BG). Oral examination was performed and OH instructions given and repeated after 1- month and 3-months. Results: A total of 91 study participants were recruited. The OH status was measured using the OHI-S index. The majority had fair OH status initially (39.6%). The median OHI-S score for NBG and BG had reduced significantly after OH instructions intervention at 1-month (from 1.67 to 1.33 and 1.33 to 1.09) and 3-months intervals (from 1.33 to 1.17 and 1.09 to 0.83), p<0.001 and p<0.001, respectively. After 3-months interval, the BG showed better median OHI-S score than NBG but was not statistically significant (p=0.629). Conclusions: The delivery of OH instructions in the form of verbal and tactile methods with or without Braille instructions is an effective tool and well perceived by the VI children. Continuous reinforcement and motivation at regular intervals are more important to achieve good OH levels in VI individuals.","Yes","Accommodation","Braille oral hygiene instructions","N/A","High school","91","N/A","Oral hygiene","N/A"
"Farinella, Giovanni Maria; Leonardi, Paolo; Stanco, Filippo","A Mobile Application for Braille to Black Conversion",2015,"This work aims to the production of inclusive technologies to help people affected by diseases. In particular, we present a pipeline to convert Braille documents, acquired with a mobile device, into classic printed text. The mobile application has been thought as support for assistants (e.g., in the education domain) and parents of blind and partially sighted persons (e.g., children and elderly) for the reading of Braille written documents. The software has been developed and tested thanks to the collaboration with experts in the field [2]. Experimental results confirm the effectiveness of the proposed imaging pipeline in terms of conversion accuracy, punctuation, and final page layout.","Yes","Accommodation","Braille to printed text conversion","N/A","N/A","N/A","N/A","N/A","N/A"
"Das, Diptajit; Suresan, Vinay; Jnaneswar, Avinash; Pathi, Jayashree; Subramaniam, Goutham Bala","Effectiveness of a novel oral health education technique in maintenance of gingival health and plaque removal efficacy among institutionalized visually impaired children of Bhubaneswar city: A randomized controlled trial",2019,"Aim: This study aimed to assess the effectiveness of a novel health education method-Audio Tactile Performance (ATP) technique-in maintenance of gingival health and plaque removal efficacy among institutionalized visually impaired children of Bhubaneswar city. Methods and results: A parallel arm, single blinded randomized controlled trial was conducted among 10- to 15-year-old visually impaired children. Clinical examinations were done by the examiner blinded to group allocations. Oral health education materials (Braille and audio) were given to control group and ATP technique was given to test group. Clinical examinations for plaque and gingival scores were assessed at baseline, 30 days interval, and 90 days interval. The trial was registered with the Clinical Trial Registry of India (CTRI/2017/05/008551). In control group, a greater plaque reduction was observed at 30 days interval (3.58 +/- 1.3) when compared to baseline (2.63 +/- 2.02) and 90 days interval (3.14 t 0.88), and this difference was statistically significant. For whole mouth, in test group, a greater reduction in gingival scores was observed at 90 days interval (2.65 +/- 1.64) when compared to baseline (4.58 +/- 1.63) and 30 days interval (1.23 +/- 2.43), and this difference was statistically significant. Conclusion: ATP was found to be at par with the control group (Braille and audio aids).","Yes","Accommodation","Audio Tactile Performance (ATP) technique","N/A","N/A","N/A","India","Oral health","N/A"
"Kao, Matiekase A.; Mzimela, Patience J.","'They are visually impaired, not blind ... teach them!': Grade R in-service teachers' knowledge of teaching pre-reading skills to visually impaired learners",2019,"Background: Teaching reading skills is the cornerstone of all learning; therefore, teachers' adherence to this mandate is important. However, it becomes complicated and challenging if the teacher has to teach pre-reading skills to Grade R learners with visual impairments. In light of this challenge, researchers have endeavoured to determine the Technological Pedagogical and Content Knowledge (TPACK) that teachers should possess for the effective teaching of reading in classrooms with visually impaired learners. Aim: This article explores a small sample of in-service teachers' knowledge of using Braille to teach pre-reading skills to Grade R learners with visual impairments. Setting: The study was conducted in a School for the Blind in Maseru, Lesotho, where three Grade R in-service teachers teaching learners with visual impairments were purposively sampled. Methods: This study is underpinned by Koehler and Mishra's theory of TPACK. An interpretivist, qualitative small-scale case study approach was employed, using semi-structured interviews and classroom observations. Document analysis was also used to corroborate findings. Results: Findings reveal that although some of the participants possess a high level of technological knowledge, they tend to teach Braille as a 'stand-alone' skill and fail to integrate it with the teaching of other pre-reading skills to Grade R learners. Conclusion: In-service teachers showed limited knowledge of some of the essential skills for teaching pre-reading skills to Grade R learners who are visually impaired. The study calls for supportive in-service teacher education programmes that equip Grade R teachers of learners with visual impairments with the necessary skills to teach pre-reading skills.","Yes","Accommodation","Braille","Classroom","Grade R","Three","Lesotho","Pre-reading skills","N/A"
"Shoaib, Muhammad; Fitzpatrick, Donal; Pitt, Ian","Assistive technology-based solutions in learning mathematics for visually-impaired people: exploring issues, challenges and opportunities",2023,"In the absence of vision, visually impaired and blind people rely upon the tactile sense and hearing to obtain information about their surrounding environment. These senses cannot fully compensate for the absence of vision, so visually impaired and blind people experience difficulty with many tasks, including learning. This is particularly true of mathematical learning. Nowadays, technology provides many effective and affordable solutions to help visually impaired and blind people acquire mathematical skills. This paper is based upon a systematic review of technology-based mathematical learning solutions for visually impaired people and discusses the findings and objectives for technological improvements. It analyses the issues, challenges and limitations of existing techniques. We note that audio feedback, tactile displays, a supportive academic environment, digital textbooks and other forms of accessible math applications improve the quality of learning mathematics in visually impaired and blind people. Based on these findings, it is suggested that smartphone-based solutions could be more convenient and affordable than desktop/laptop-based solutions as a means to enhance mathematical learning. Additionally, future research directions are discussed, which may assist researchers to propose further solutions that will improve the quality of life for visually impaired and blind people.","Yes","Accommodation","Audio feedback, tactile displays, digital textbooks","Learning","N/A","N/A","N/A","Mathematics","N/A"
